0,4535441 0,4657942 0,4742073 0,4877994 0,4822022 0,48 0,48 0,48 0,48 0,48 ;0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4669152 0,4478246 0,4807365 0,4687786 0,4821312 0,48 0,48 0,48 0,48 0,48 ;0,4558181 0,4746308 0,4802399 0,5015301 0,4794308 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4909841 0,4758938 0,4700524 0,4751821 0,4850051 0,48 0,48 0,48 0,48 0,48 ;0,5241005 0,4684071 0,4830764 0,4820901 0,4947988 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4557636 0,4696282 0,4506963 0,4736689 0,4895487 0,48 0,48 0,48 0,48 0,48 ;0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,453912 0,4731773 0,4721291 0,4877666 0,4819357 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4597026 0,4692196 0,4741797 0,4817261 0,493406 0,48 0,48 0,48 0,48 0,48 ;0,4943477 0,4898951 0,5002952 0,4781849 0,4657724 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,48 0,5096647 0,492256 0,4857974 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4393082 0,4793421 0,4725845 0,4769917 0,4649207 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4958092 0,4622103 0,4745629 0,4957737 0,4875974 0,48 0,48 0,48 0,48 0,48 ;0,5143093 0,4802882 0,4813292 0,5144919 0,4989862 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4529835 0,4561487 0,4844491 0,4762761 0,4837125 0,48 0,48 0,48 0,48 0,48 ;0,470944 0,4889229 0,4848035 0,4676669 0,4873684 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,4356944 0,4497151 0,4596083 0,4691154 0,475367 0,48 0,48 0,48 0,48 0,48 ;
0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 0,48 ;0,5273299 0,4856665 0,4822062 0,4766442 0,47 0,48 0,48 0,48 0,48 0,48 ;0,4696654 0,4717809 0,4828047 0,4712502 0,4748428 0,48 0,48 0,48 0,48 0,48 ;
