0.48 0.48 0.4852983 0.5000599 0.4398129 0.430704 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4815791 0.4400689 0.4196367 0.4336084 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4852127 0.4715894 0.444295 0.4331379 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4863546 0.4421994 0.4484962 0.422355 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4586727 0.4170663 0.3963608 0.3877513 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.5144747 0.5119892 0.4872994 0.4406007 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4897236 0.4830052 0.4581796 0.4456283 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4414344 0.4232503 0.4304853 0.4399918 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4877801 0.4825502 0.4404924 0.4508358 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.5182299 0.4918185 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4580256 0.4690607 0.4454021 0.429911 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.436013 0.4408979 0.4276727 0.4161106 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4910642 0.4906337 0.4658321 0.459861 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.5053026 0.4787596 0.459623 0.4529582 0.48 0.48 0.48 0.48 ;0.48 0.48 0.490483 0.4857665 0.469979 0.4511796 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4532541 0.436825 0.4281234 0.4294258 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.519906 0.490794 0.5034176 0.4773735 0.48 0.48 0.48 0.48 ;0.48 0.48 0.4811586 0.4731041 0.4528193 0.4550457 0.48 0.48 0.48 0.48 ;
