0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.5032737 0.4396462 0.4299507 0.4241016 0.4344904 0.48 0.48 0.48 0.48 0.48 ;0.473862 0.4435129 0.4552898 0.443389 0.4332249 0.48 0.48 0.48 0.48 0.48 ;0.4840381 0.4814036 0.4366839 0.4511642 0.4342093 0.48 0.48 0.48 0.48 0.48 ;0.4928045 0.5127745 0.4720774 0.47202 0.4470043 0.48 0.48 0.48 0.48 0.48 ;0.4545767 0.4621562 0.4372235 0.4755822 0.4484084 0.48 0.48 0.48 0.48 0.48 ;0.5258669 0.5123596 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.5056321 0.4569677 0.4325446 0.4336825 0.4540749 0.48 0.48 0.48 0.48 0.48 ;0.4470741 0.5002329 0.4953574 0.4796544 0.4512134 0.48 0.48 0.48 0.48 0.48 ;0.4150963 0.4376474 0.4337919 0.4405325 0.4344966 0.48 0.48 0.48 0.48 0.48 ;0.4092559 0.4124618 0.4096857 0.432227 0.4178946 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.5123538 0.3401284 0.3754956 0.4213051 0.416646 0.48 0.48 0.48 0.48 0.48 ;0.4632753 0.3653927 0.3690866 0.3778041 0.409207 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.3710286 0.3305205 0.3700773 0.3880883 0.4011048 0.48 0.48 0.48 0.48 0.48 ;0.47 0.47 0.47 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4443171 0.4061138 0.4317073 0.4356632 0.4055616 0.48 0.48 0.48 0.48 0.48 ;0.4505619 0.4273476 0.4575213 0.4620303 0.4438952 0.48 0.48 0.48 0.48 0.48 ;0.47 0.47 0.4700595 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.4500564 0.4129384 0.4413766 0.3981666 0.4368328 0.48 0.48 0.48 0.48 0.48 ;0.4786441 0.4785614 0.47952 0.4795595 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4862203 0.4777383 0.4592382 0.4560626 0.4286561 0.48 0.48 0.48 0.48 0.48 ;0.462019 0.4981407 0.5033838 0.462947 0.4498198 0.48 0.48 0.48 0.48 0.48 ;0.4496234 0.4427672 0.4422135 0.4294371 0.4578151 0.48 0.48 0.48 0.48 0.48 ;0.427938 0.392499 0.3943402 0.4195677 0.4422958 0.48 0.48 0.48 0.48 0.48 ;0.4776048 0.4795604 0.4790799 0.47952 0.47952 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.47 0.47 0.47 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.4595832 0.4529217 0.4208227 0.4221466 0.4330864 0.48 0.48 0.48 0.48 0.48 ;0.4689038 0.4554947 0.4093923 0.4258358 0.4302259 0.48 0.48 0.48 0.48 0.48 ;0.461246 0.4126749 0.421484 0.4327115 0.4267982 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.5270515 0.4067084 0.4406459 0.4287261 0.432526 0.48 0.48 0.48 0.48 0.48 ;0.47 0.47 0.47 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.4611916 0.4649287 0.4406842 0.4468269 0.4313084 0.48 0.48 0.48 0.48 0.48 ;0.5369771 0.4992411 0.4685573 0.4766536 0.458533 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4806008 0.48052 0.4805604 0.47952 0.4790405 0.48 0.48 0.48 0.48 0.48 ;0.47 0.47 0.47 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4142587 0.4673216 0.4374959 0.4553058 0.4291474 0.48 0.48 0.48 0.48 0.48 ;0.4420216 0.4446764 0.4310661 0.4528083 0.4460274 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4801614 0.4785614 0.48052 0.4810395 0.4800395 0.48 0.48 0.48 0.48 0.48 ;0.4252519 0.4562074 0.4222505 0.4263707 0.4337114 0.48 0.48 0.48 0.48 0.48 ;0.4649541 0.4885546 0.463134 0.4510082 0.4490452 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.417243 0.3904317 0.4235355 0.434789 0.4239092 0.48 0.48 0.48 0.48 0.48 ;0.4632985 0.4997428 0.4705981 0.4354028 0.4477716 0.48 0.48 0.48 0.48 0.48 ;0.506534 0.5113651 0.4774211 0.4656092 0.454151 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4266616 0.4169926 0.4239663 0.4390131 0.4258822 0.48 0.48 0.48 0.48 0.48 ;0.3985928 0.4425966 0.4344556 0.4436691 0.4349141 0.48 0.48 0.48 0.48 0.48 ;0.5338606 0.47 0.47 0.47 0.47 0.48 0.48 0.48 0.48 0.48 ;0.4890747 0.5033178 0.484968 0.4704507 0.4916165 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4238232 0.4740441 0.4667903 0.4347083 0.417071 0.48 0.48 0.48 0.48 0.48 ;0.4438714 0.4935445 0.4743482 0.4454804 0.4494339 0.48 0.48 0.48 0.48 0.48 ;0.4554875 0.4801738 0.4648562 0.4443241 0.4443927 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.4135841 0.4481443 0.4627727 0.4504734 0.4424968 0.48 0.48 0.48 0.48 0.48 ;0.4746878 0.4011201 0.4160001 0.4291815 0.4380876 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 0.48 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.4179326 0.3580136 0.4150466 0.4116663 0.4258384 0.5 0.5 0.5 0.5 0.5 ;0.4168749 0.4123771 0.4320089 0.4088735 0.4267077 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
