0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5340839 0.498428 0.470014 0.4341174 0.5 0.5 0.5 0.5 ;0.5 0.4747073 0.4884138 0.4620759 0.4586976 0.436798 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5002037 0.4604091 0.4607712 0.4378736 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5164685 0.5097161 0.4845964 0.4389761 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4578535 0.457282 0.462809 0.4598322 0.5 0.5 0.5 0.5 ;0.5 0.5 0.549617 0.485545 0.48 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4869127 0.4861627 0.4801151 0.48 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.48 0.4892775 0.500926 0.4972057 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5116503 0.4928699 0.4780272 0.445704 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5159627 0.5080837 0.4920736 0.4482654 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4597202 0.4418412 0.4295651 0.4229296 0.5 0.5 0.5 0.5 ;0.5 0.5 0.418181 0.4205562 0.398061 0.424278 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4953663 0.4831382 0.4961331 0.4946915 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.4822893 0.4881441 0.4911796 0.490764 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5250372 0.5116752 0.4724074 0.4345538 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4687911 0.41688 0.4110806 0.391497 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.364105 0.3694626 0.375365 0.3748702 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.48 0.485874 0.4955365 0.4921646 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.48 0.4806966 0.4830037 0.4865202 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4477707 0.4323878 0.4340425 0.410112 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4646535 0.4607657 0.4639554 0.4257014 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4761093 0.47 0.46953 0.47053 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4602899 0.4694928 0.4273696 0.4166036 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4980055 0.498003 0.4999995 0.4999995 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5102335 0.48 0.4946606 0.4849418 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5135393 0.4690531 0.4643108 0.4305021 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5201463 0.4978008 0.4910009 0.4453093 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4793855 0.463922 0.4373515 0.4330296 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4312801 0.4323695 0.4241119 0.4205375 0.5 0.5 0.5 0.5 ;0.5 0.5 0.498003 0.499999 0.4990005 0.498003 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.4834707 0.4877244 0.4966429 0.4941622 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4792234 0.4445834 0.4187934 0.4306502 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4853418 0.4547583 0.4453096 0.4209514 0.5 0.5 0.5 0.5 ;0.5 0.5 0.473217 0.4478863 0.4388158 0.4159122 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.48 0.48 0.48 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5499372 0.511375 0.4619024 0.4477286 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.473794 0.4620142 0.4591422 0.4368415 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5449845 0.5096968 0.5018294 0.4615521 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4892262 0.4885788 0.4855262 0.5002577 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4804098 0.4827458 0.502771 0.4925194 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.4842115 0.4921358 0.4999437 0.4877879 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4805604 0.4993067 0.4973343 0.4790819 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4583555 0.4557222 0.4512763 0.4272518 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4439346 0.4671549 0.4487469 0.4316193 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5125447 0.48 0.48 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5005001 0.4995005 0.499002 0.500997 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4695935 0.4272984 0.4260391 0.4250311 0.5 0.5 0.5 0.5 ;0.5 0.5 0.508144 0.4606722 0.4736048 0.4285067 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.4925995 0.488317 0.4892023 0.4913848 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4205993 0.4340535 0.4265794 0.4142477 0.5 0.5 0.5 0.5 ;0.5 0.5 0.517954 0.481032 0.4623385 0.4495432 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5125756 0.5050587 0.4783562 0.4778166 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
